"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.0718443054951,10.587675,2.036063,1027.1122,-0.011575394,"79",0.081656545,0.015396014,10.587675
-1.02101035184699,12.452165,2.2153709,1027.1327,-0.0096438,"79",0.081656545,0.013091651,10.587675
-0.982162883169275,14.390725,2.319293,1027.15,-0.01219317,"79",0.081656545,0.016936092,10.587675
-0.95158773409394,16.325785,2.2844977,1027.163,-0.009252263,"79",0.081656545,0.020559631,10.587675
-0.927385532609215,18.093513,2.1803305,1027.1724,-0.013117477,"79",0.081656545,0.016937103,10.587675
-0.909136684109628,19.785761,2.1744087,1027.1813,-0.012359476,"79",0.081656545,0.01711523,10.587675
-0.895766746454358,21.511614,2.2491348,1027.1899,-0.018164475,"79",0.081656545,0.020268645,10.587675
-0.884007032113685,23.308401,2.3632774,1027.1987,-0.013876094,"79",0.081656545,0.020716129,10.587675
-0.869197319998568,25.181425,2.4822114,1027.208,-0.01366356,"79",0.081656545,0.016673237,10.587675
-0.847892295258983,27.123487,2.5404499,1027.2178,-0.007324638,"79",0.081656545,0.020881621,10.587675
-0.820078850472249,28.994514,2.4989398,1027.2271,-0.012465021,"79",0.081656545,0.013467724,10.587675
-0.789325398560531,30.760735,2.4468834,1027.236,-0.01323772,"79",0.081656545,0.016717402,10.587675
-0.760765319373086,32.450027,2.4055057,1027.2445,-0.011214928,"79",0.081656545,0.016158542,10.587675
-0.738145031962491,34.059219,2.3834231,1027.2527,-0.011135457,"79",0.081656545,0.018579753,10.587675
-0.721757542203571,35.642845,2.4119298,1027.2606,-0.013176057,"79",0.081656545,0.018166492,10.587675
-0.708493860193162,37.246246,2.4531088,1027.2688,-0.009068223,"79",0.081656545,0.020489316,10.587675
-0.693742616607987,38.83939,2.4805102,1027.2769,-0.012722399,"79",0.081656545,0.017203784,10.587675
-0.673728751542442,40.410915,2.5116127,1027.2848,-0.012201766,"79",0.081656545,0.017343957,10.587675
-0.646980760450881,41.976398,2.547528,1027.2926,-0.009422889,"79",0.081656545,0.017263925,10.587675
-0.614531075399027,43.475922,2.5425978,1027.3002,-0.006386988,"79",0.081656545,0.016039463,10.587675
