"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.06468959002594,10.149276,2.1674304,1027.0963,-0.013306675,"68",0.081656545,0.019849172,10.149276
-0.986064496898938,12.037368,2.2556694,1027.1296,-0.013121045,"68",0.081656545,0.01703316,10.149276
-0.92972484976554,13.916068,2.3492351,1027.1459,-0.01047946,"68",0.081656545,0.020880992,10.149276
-0.897539617001949,15.795492,2.3954661,1027.16,-0.016044909,"68",0.081656545,0.02688494,10.149276
-0.885398792565811,17.663654,2.4015529,1027.17,-0.011547098,"68",0.081656545,0.02113582,10.149276
-0.88556411015256,19.508352,2.394933,1027.1798,-0.008776306,"68",0.081656545,0.015126398,10.149276
-0.889282481764056,21.371302,2.3816154,1027.1892,-0.012649948,"68",0.081656545,0.017977901,10.149276
-0.889114179664286,23.21277,2.3488421,1027.1982,-0.012253565,"68",0.081656545,0.017922495,10.149276
-0.880774350726434,25.010117,2.3159068,1027.2072,-0.012097307,"68",0.081656545,0.019906595,10.149276
-0.863792035305141,26.7743,2.3473992,1027.2159,-0.011233941,"68",0.081656545,0.016068758,10.149276
-0.840544110042237,28.579901,2.3928165,1027.2251,-0.012060788,"68",0.081656545,0.01795277,10.149276
-0.814165238634179,30.341644,2.4702036,1027.2339,-0.011078208,"68",0.081656545,0.018712241,10.149276
-0.78660690862421,32.171005,2.5419543,1027.2432,-0.018730808,"68",0.081656545,0.030298986,10.149276
-0.758047091236153,33.948723,2.5750616,1027.2521,-0.008961873,"68",0.081656545,0.019673763,10.149276
-0.727864833228734,35.698895,2.6339052,1027.261,-0.011952674,"68",0.081656545,0.017083095,10.149276
-0.696203443586836,37.452957,2.7109931,1027.2699,-0.011325926,"68",0.081656545,0.01842713,10.149276
-0.664765682981996,39.174328,2.753206,1027.2786,-0.011157715,"68",0.081656545,0.018454153,10.149276
-0.636226390665942,40.841125,2.7894256,1027.2869,-0.010654164,"68",0.081656545,0.019395251,10.149276
-0.612828314727488,42.48106,2.7925596,1027.2952,-0.02284695,"68",0.081656545,0.033234995,10.149276
-0.595299920689832,44.044487,2.765553,1027.303,-0.002144136,"68",0.081656545,0.01706961,10.149276
-0.582782471654406,45.569275,2.7232573,1027.3105,-0.010446227,"68",0.081656545,0.018006423,10.149276
-0.573560204246746,47.032661,2.6447942,1027.3179,-0.009113153,"68",0.081656545,0.018333308,10.149276
-0.565908087394057,48.427803,2.6033001,1027.3248,-0.016856106,"68",0.081656545,0.021444105,10.149276
-0.558586326462185,49.812511,2.5497146,1027.3318,-0.008991028,"68",0.081656545,0.019968031,10.149276
